eftsure Pty Ltd,"Sydney, New South Wales (Headquarters)",http://www.eftsure.com.au,,"Australian banks don't match Payee Names to Account Numbers, leading to errors and fraud. With Business Email Compromise growing over 10x per annum, businesses face growing risks in electronic payments processes. eftsure, using a unique cloud-based and crowd-sourced supplier database, helps our customers manage accurate supplier data and ensure payments are directed to the correct recipients .","AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=eftsure%20Pty%20Ltd&id=0010L00001sCvP4QAK
Asia Pacific University (APU),"Bukit Jalil, Kuala Lumpur (Headquarters)",http://www.apu.edu.my,,"APIIT Education Group has emerged over the years as one of Malaysia’s Largest Education Groups addressing all levels of Education. APIIT Education Group has emerged over the years as one of Malaysia’s Largest Education Groups addressing all levels of Education. Awards: Asia Pacific ICT Awards (APICTA), Hong Kong Asia Pacific ICT Awards (APICTA), Malaysia","AWS Public Sector Partner: Government, Education, Nonprofit",AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Asia%20Pacific%20University%20(APU)&id=0010L00001sD1TrQAK
Alephoo,"Campana, Buenos Aires (Headquarters)",https://www.alephoo.com,,We provide a complete cloud hospital information system. Our focus is eficience and patient experience.,"AWS Public Sector Partner: Government, Nonprofit",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Alephoo&id=0010L00001sgkcUQAQ
Fortrus Ltd,"Stevenage, Herts (Headquarters)",http://www.fortrus.com,,,AWS Public Sector Partner: Government,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Fortrus%20Ltd&id=0010L00001sgyRkQAI
EDC Consulting LLC,"McLean, Virginia (Headquarters)",http://www.edcconsulting.com,,,AWS Public Sector Partner: Government,"AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=EDC%20Consulting%20LLC&id=0010L00001shCc0QAE
Auldhouse Computer Training,"Auckland, Ponsonby (Headquarters)",http://www.auldhouse.co.nz,,"Our aim is to grow skills and talent together. We empower people through great training - at your place, our place, any place. Our award winning training means that you will benefit from receiving the latest training content designed to help you and your organisation achieve the skills and knowledge you require",Authorized Training Partner,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Auldhouse%20Computer%20Training&id=0010L00001shE1wQAE
YottaStor,"McLean, Virginia (Headquarters)",http://www.yottastor.com,,,AWS Public Sector Partner: Government,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=YottaStor&id=0010L00001sha7GQAQ
"Workgroup Connections, Inc.","Saint Louis, Missouri (Headquarters)",http://www.wgcinc.com,,"We are an IBM Gold Business Partrner for 25 yrs, providing technical services, software licensing, software development and integration. We specialize in cloud and cloud hybrid migrations and have the expertise and track record to accomplish this from planning to execution. We can help: plan your AWS VPC; provide VPN to onPrem; VMware to EC2 migration; Directory Services integration and DevOps.",Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Workgroup%20Connections%2C%20Inc.&id=0010L00001shamKQAQ
radix.ai,"Brussel, Brussels (Headquarters)",http://www.radix.ai,,"At Radix.ai we believe in a future where Artificial Intelligence will affect every sector, industry or person. We invent, design and develop AI-powered software. We help organizations to become future-proof. Our goal is to help our customers achieve strategic business goals by engineering Machine/Deep Learning solutions that create competitive advantages, from ideation to implementation.",AWS Public Sector Partner: Government,AWS Certified Developer - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=radix.ai&id=0010L00001shudkQAA
"Titan Facilities, Inc.","Niceville, Florida (Headquarters)",http://www.titantechnologies.com/,,,"AWS Public Sector Partner: Government, Education",AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Titan%20Facilities%2C%20Inc.&id=0010L00001siAORQA2
PT Innofast Solusi Prima,"Jakarta, Jakarta (Headquarters)",http://www.innofastprima.com,,,Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=PT%20Innofast%20Solusi%20Prima&id=0010L00001sj4IWQAY
3HTP Colombia S.A.S.,"Bogota, Central (Centro) (Headquarters)",http://www.3htp.com,,,Authorized Commercial Reseller,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=3HTP%20Colombia%20S.A.S.&id=0010L00001sjt1VQAQ
ARGO GRAPHICS Inc.,"中央区, 東京都 (Headquarters)",https://www.argo-graph.co.jp/,,,AWS Public Sector Partner: Government,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=ARGO%20GRAPHICS%20Inc.&id=0010L00001sk3XRQAY
Swipe iX,"Cape Town, Western Cape (Headquarters)",https://www.swipeix.com,,"Our enterprise grade solutions are purpose built from the ground up to satisfy every requirement and our platforms scale to support any load. Our agile approach allows us to constantly monitor, analyse, iterate and improve the products we build. We are powered by deep strategic thinking, global industry insights and operational best practices.",Authorized Commercial Reseller,"AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified DevOps Engineer - Professional,AWS Certified Solutions Architect - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Swipe%20iX&id=0010L00001sk3dZQAQ
Creative Folks Pty Ltd,"North Sydney, New South Wales (Headquarters)",http://www.creativefolks.com.au,,"Creative Folks is an independent IT consultancy providing toolkits for marketers, retailers, educators and media companies to create, manage, distribute and analyse content. As an AWS Consulting Partner we specialise in building integrations using serverless technologies, delivering low-cost, highly available architectures that enable innovation and scalability. We make the complex simple.",Authorized Commercial Reseller,"AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Creative%20Folks%20Pty%20Ltd&id=0010L00001sk5lbQAA
EagleForce Associates,"Herndon, Virginia (Headquarters)",http://www.theeagleforce.net,,,AWS Public Sector Partner: Government,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=EagleForce%20Associates&id=0010L00001tA5ShQAK
"Flagler Technologies, LLC","Boca Raton, Florida (Headquarters)",http://www.flagler.io,,"Flagler is a multi-faceted IT solution provider & serves the entire U.S. with professional and managed services. We are advocates for our customers into some of the world’s most innovative and industry leading technology companies including Dell EMC, VMware, Cisco, HPE, Splunk, AWS, Microsoft and more. We serve many verticals such as healthcare, retail, financial, manufacturing and local gov.",Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Flagler%20Technologies%2C%20LLC&id=0010L00001tAI5LQAW
Next Education India Pvt Ltd,"Hyderabad, Andrapradesh (Headquarters)",http://www.nexteducation.in,,,AWS Public Sector Partner: Education,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Next%20Education%20India%20Pvt%20Ltd&id=0010L00001tALAdQAO
"Kickstep Technologies, Inc.","Wilmington, DE (Headquarters)",http://www.kickstepinc.com,,"Kickstep Technologies is a leading technology firm providing cloud consulting, infrastructure, and managed services. We use our experience to ensure clients have the best technical solutions to solve their business challenges and deliver value for their organization. We optimize the value of IT investments by thinking creatively while laying the groundwork for future growth and flexibility.",AWS Public Sector Partner: Nonprofit,"AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Kickstep%20Technologies%2C%20Inc.&id=0010L00001tASoUQAW
Infinitive,"Ashburn, Virginia (Headquarters)",http://www.infinitive.com,,"We specialize in digital and business transformation, digital advertising and marketing, cloud computing, data science and analytics, and cybersecurity that drive positive outcomes for our clients. We are experienced in a variety of industries. Our solutions address multiple levers of change – including technology/platforms and cloud, data process, and cultural and organizational factors.",AWS Public Sector Partner: Education,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Infinitive&id=0010L00001tAWVyQAO
IMPERIAL CONSULTING INC,"Makati City, NCR (Headquarters)",http://www.imperialconsulting.com,,,Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=IMPERIAL%20CONSULTING%20INC&id=0010L00001tAmfRQAS
IBM Japan,"中央区日本橋箱崎町, 東京都 (Headquarters)",https://www.ibm.com/jp-ja/,,,AWS Public Sector Partner: Education,"AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=IBM%20Japan&id=0010L00001tAthLQAS
Fixel Bilgi Iletisim Hiz AS,"İstanbul, Istanbul (Headquarters)",http://www.fixel.xyz,,,Authorized Commercial Reseller,"AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional,AWS Certified Solutions Architect - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Fixel%20Bilgi%20Iletisim%20Hiz%20AS&id=0010L00001tAuR4QAK
